Week,ADA: (Worldwide)
2016-10-23,35
2016-10-30,34
2016-11-06,33
2016-11-13,35
2016-11-20,34
2016-11-27,34
2016-12-04,34
2016-12-11,30
2016-12-18,33
2016-12-25,31
2017-01-01,32
2017-01-08,33
2017-01-15,34
2017-01-22,34
2017-01-29,34
2017-02-05,35
2017-02-12,35
2017-02-19,35
2017-02-26,34
2017-03-05,34
2017-03-12,34
2017-03-19,34
2017-03-26,34
2017-04-02,34
2017-04-09,34
2017-04-16,34
2017-04-23,34
2017-04-30,33
2017-05-07,34
2017-05-14,33
2017-05-21,32
2017-05-28,33
2017-06-04,31
2017-06-11,30
2017-06-18,28
2017-06-25,28
2017-07-02,32
2017-07-09,32
2017-07-16,33
2017-07-23,36
2017-07-30,35
2017-08-06,35
2017-08-13,32
2017-08-20,34
2017-08-27,33
2017-09-03,34
2017-09-10,34
2017-09-17,34
2017-09-24,36
2017-10-01,35
2017-10-08,35
2017-10-15,35
2017-10-22,34
2017-10-29,35
2017-11-05,34
2017-11-12,34
2017-11-19,34
2017-11-26,35
2017-12-03,35
2017-12-10,35
2017-12-17,35
2017-12-24,34
2017-12-31,37
2018-01-07,35
2018-01-14,35
2018-01-21,35
2018-01-28,35
2018-02-04,33
2018-02-11,36
2018-02-18,34
2018-02-25,35
2018-03-04,35
2018-03-11,36
2018-03-18,37
2018-03-25,38
2018-04-01,39
2018-04-08,36
2018-04-15,38
2018-04-22,37
2018-04-29,35
2018-05-06,34
2018-05-13,32
2018-05-20,37
2018-05-27,34
2018-06-03,31
2018-06-10,28
2018-06-17,30
2018-06-24,32
2018-07-01,33
2018-07-08,34
2018-07-15,34
2018-07-22,37
2018-07-29,38
2018-08-05,37
2018-08-12,35
2018-08-19,33
2018-08-26,36
2018-09-02,36
2018-09-09,36
2018-09-16,37
2018-09-23,38
2018-09-30,37
2018-10-07,40
2018-10-14,39
2018-10-21,38
2018-10-28,41
2018-11-04,38
2018-11-11,37
2018-11-18,35
2018-11-25,39
2018-12-02,46
2018-12-09,36
2018-12-16,36
2018-12-23,35
2018-12-30,34
2019-01-06,36
2019-01-13,37
2019-01-20,37
2019-01-27,39
2019-02-03,38
2019-02-10,38
2019-02-17,39
2019-02-24,38
2019-03-03,38
2019-03-10,38
2019-03-17,40
2019-03-24,39
2019-03-31,37
2019-04-07,37
2019-04-14,36
2019-04-21,42
2019-04-28,37
2019-05-05,37
2019-05-12,42
2019-05-19,41
2019-05-26,34
2019-06-02,32
2019-06-09,36
2019-06-16,37
2019-06-23,36
2019-06-30,34
2019-07-07,36
2019-07-14,36
2019-07-21,39
2019-07-28,42
2019-08-04,41
2019-08-11,37
2019-08-18,40
2019-08-25,40
2019-09-01,41
2019-09-08,40
2019-09-15,42
2019-09-22,43
2019-09-29,42
2019-10-06,41
2019-10-13,40
2019-10-20,42
2019-10-27,41
2019-11-03,40
2019-11-10,40
2019-11-17,43
2019-11-24,40
2019-12-01,43
2019-12-08,40
2019-12-15,34
2019-12-22,36
2019-12-29,35
2020-01-05,37
2020-01-12,41
2020-01-19,39
2020-01-26,40
2020-02-02,40
2020-02-09,39
2020-02-16,39
2020-02-23,38
2020-03-01,39
2020-03-08,40
2020-03-15,52
2020-03-22,55
2020-03-29,58
2020-04-05,55
2020-04-12,61
2020-04-19,45
2020-04-26,45
2020-05-03,46
2020-05-10,47
2020-05-17,38
2020-05-24,36
2020-05-31,60
2020-06-07,69
2020-06-14,44
2020-06-21,37
2020-06-28,36
2020-07-05,37
2020-07-12,44
2020-07-19,56
2020-07-26,52
2020-08-02,61
2020-08-09,61
2020-08-16,49
2020-08-23,59
2020-08-30,61
2020-09-06,61
2020-09-13,64
2020-09-20,71
2020-09-27,69
2020-10-04,68
2020-10-11,65
2020-10-18,60
2020-10-25,48
2020-11-01,53
2020-11-08,56
2020-11-15,56
2020-11-22,61
2020-11-29,100
2020-12-06,77
2020-12-13,46
2020-12-20,39
2020-12-27,37
2021-01-03,46
2021-01-10,52
2021-01-17,52
2021-01-24,54
2021-01-31,58
2021-02-07,60
2021-02-14,62
2021-02-21,65
2021-02-28,72
2021-03-07,68
2021-03-14,83
2021-03-21,67
2021-03-28,61
2021-04-04,60
2021-04-11,47
2021-04-18,57
2021-04-25,51
2021-05-02,50
2021-05-09,44
2021-05-16,51
2021-05-23,59
2021-05-30,70
2021-06-06,79
2021-06-13,51
2021-06-20,45
2021-06-27,44
2021-07-04,43
2021-07-11,48
2021-07-18,49
2021-07-25,61
2021-08-01,62
2021-08-08,65
2021-08-15,67
2021-08-22,71
2021-08-29,67
2021-09-05,69
2021-09-12,68
2021-09-19,71
2021-09-26,64
2021-10-03,63
2021-10-10,62
