Week,BNB: (Worldwide)
2016-10-23,32
2016-10-30,30
2016-11-06,29
2016-11-13,30
2016-11-20,28
2016-11-27,30
2016-12-04,28
2016-12-11,26
2016-12-18,26
2016-12-25,31
2017-01-01,37
2017-01-08,40
2017-01-15,37
2017-01-22,35
2017-01-29,39
2017-02-05,36
2017-02-12,36
2017-02-19,38
2017-02-26,39
2017-03-05,40
2017-03-12,39
2017-03-19,40
2017-03-26,39
2017-04-02,43
2017-04-09,41
2017-04-16,41
2017-04-23,40
2017-04-30,40
2017-05-07,40
2017-05-14,39
2017-05-21,42
2017-05-28,42
2017-06-04,44
2017-06-11,43
2017-06-18,46
2017-06-25,47
2017-07-02,47
2017-07-09,51
2017-07-16,49
2017-07-23,51
2017-07-30,50
2017-08-06,48
2017-08-13,46
2017-08-20,44
2017-08-27,37
2017-09-03,40
2017-09-10,38
2017-09-17,37
2017-09-24,35
2017-10-01,37
2017-10-08,37
2017-10-15,37
2017-10-22,35
2017-10-29,36
2017-11-05,36
2017-11-12,34
2017-11-19,33
2017-11-26,33
2017-12-03,33
2017-12-10,34
2017-12-17,35
2017-12-24,42
2017-12-31,49
2018-01-07,52
2018-01-14,48
2018-01-21,48
2018-01-28,51
2018-02-04,50
2018-02-11,47
2018-02-18,52
2018-02-25,52
2018-03-04,53
2018-03-11,52
2018-03-18,56
2018-03-25,55
2018-04-01,55
2018-04-08,55
2018-04-15,57
2018-04-22,56
2018-04-29,54
2018-05-06,55
2018-05-13,52
2018-05-20,57
2018-05-27,57
2018-06-03,59
2018-06-10,57
2018-06-17,60
2018-06-24,61
2018-07-01,61
2018-07-08,65
2018-07-15,62
2018-07-22,67
2018-07-29,64
2018-08-05,63
2018-08-12,61
2018-08-19,57
2018-08-26,54
2018-09-02,52
2018-09-09,55
2018-09-16,51
2018-09-23,52
2018-09-30,49
2018-10-07,49
2018-10-14,49
2018-10-21,47
2018-10-28,45
2018-11-04,47
2018-11-11,44
2018-11-18,45
2018-11-25,44
2018-12-02,45
2018-12-09,41
2018-12-16,41
2018-12-23,47
2018-12-30,59
2019-01-06,61
2019-01-13,60
2019-01-20,56
2019-01-27,55
2019-02-03,55
2019-02-10,52
2019-02-17,58
2019-02-24,54
2019-03-03,58
2019-03-10,54
2019-03-17,57
2019-03-24,56
2019-03-31,56
2019-04-07,55
2019-04-14,58
2019-04-21,58
2019-04-28,58
2019-05-05,55
2019-05-12,60
2019-05-19,60
2019-05-26,62
2019-06-02,60
2019-06-09,65
2019-06-16,70
2019-06-23,65
2019-06-30,67
2019-07-07,69
2019-07-14,67
2019-07-21,64
2019-07-28,63
2019-08-04,65
2019-08-11,66
2019-08-18,63
2019-08-25,56
2019-09-01,55
2019-09-08,52
2019-09-15,54
2019-09-22,52
2019-09-29,54
2019-10-06,52
2019-10-13,51
2019-10-20,49
2019-10-27,50
2019-11-03,51
2019-11-10,47
2019-11-17,45
2019-11-24,42
2019-12-01,43
2019-12-08,44
2019-12-15,44
2019-12-22,51
2019-12-29,60
2020-01-05,63
2020-01-12,62
2020-01-19,61
2020-01-26,56
2020-02-02,55
2020-02-09,56
2020-02-16,59
2020-02-23,52
2020-03-01,51
2020-03-08,49
2020-03-15,30
2020-03-22,22
2020-03-29,20
2020-04-05,20
2020-04-12,22
2020-04-19,22
2020-04-26,27
2020-05-03,29
2020-05-10,34
2020-05-17,42
2020-05-24,44
2020-05-31,46
2020-06-07,53
2020-06-14,54
2020-06-21,59
2020-06-28,60
2020-07-05,63
2020-07-12,62
2020-07-19,66
2020-07-26,61
2020-08-02,58
2020-08-09,57
2020-08-16,54
2020-08-23,51
2020-08-30,47
2020-09-06,45
2020-09-13,45
2020-09-20,39
2020-09-27,40
2020-10-04,40
2020-10-11,37
2020-10-18,35
2020-10-25,31
2020-11-01,28
2020-11-08,31
2020-11-15,32
2020-11-22,32
2020-11-29,32
2020-12-06,40
2020-12-13,35
2020-12-20,34
2020-12-27,41
2021-01-03,41
2021-01-10,41
2021-01-17,41
2021-01-24,41
2021-01-31,45
2021-02-07,52
2021-02-14,69
2021-02-21,67
2021-02-28,56
2021-03-07,62
2021-03-14,58
2021-03-21,58
2021-03-28,65
2021-04-04,75
2021-04-11,94
2021-04-18,100
2021-04-25,79
2021-05-02,89
2021-05-09,100
2021-05-16,82
2021-05-23,74
2021-05-30,76
2021-06-06,73
2021-06-13,70
2021-06-20,68
2021-06-27,66
2021-07-04,72
2021-07-11,69
2021-07-18,74
2021-07-25,75
2021-08-01,73
2021-08-08,73
2021-08-15,69
2021-08-22,68
2021-08-29,65
2021-09-05,63
2021-09-12,63
2021-09-19,60
2021-09-26,59
2021-10-03,61
2021-10-10,66
