Week,DOT: (Worldwide)
2016-10-23,68
2016-10-30,67
2016-11-06,62
2016-11-13,68
2016-11-20,72
2016-11-27,78
2016-12-04,80
2016-12-11,80
2016-12-18,82
2016-12-25,91
2017-01-01,73
2017-01-08,69
2017-01-15,70
2017-01-22,67
2017-01-29,69
2017-02-05,70
2017-02-12,70
2017-02-19,70
2017-02-26,67
2017-03-05,69
2017-03-12,66
2017-03-19,65
2017-03-26,64
2017-04-02,65
2017-04-09,63
2017-04-16,63
2017-04-23,66
2017-04-30,65
2017-05-07,65
2017-05-14,65
2017-05-21,64
2017-05-28,63
2017-06-04,64
2017-06-11,63
2017-06-18,63
2017-06-25,62
2017-07-02,61
2017-07-09,75
2017-07-16,64
2017-07-23,65
2017-07-30,64
2017-08-06,60
2017-08-13,64
2017-08-20,64
2017-08-27,64
2017-09-03,63
2017-09-10,65
2017-09-17,63
2017-09-24,63
2017-10-01,64
2017-10-08,65
2017-10-15,67
2017-10-22,66
2017-10-29,67
2017-11-05,68
2017-11-12,74
2017-11-19,76
2017-11-26,84
2017-12-03,80
2017-12-10,82
2017-12-17,87
2017-12-24,100
2017-12-31,75
2018-01-07,73
2018-01-14,69
2018-01-21,67
2018-01-28,66
2018-02-04,69
2018-02-11,67
2018-02-18,68
2018-02-25,66
2018-03-04,67
2018-03-11,65
2018-03-18,66
2018-03-25,65
2018-04-01,64
2018-04-08,64
2018-04-15,65
2018-04-22,62
2018-04-29,64
2018-05-06,67
2018-05-13,63
2018-05-20,65
2018-05-27,61
2018-06-03,64
2018-06-10,61
2018-06-17,60
2018-06-24,59
2018-07-01,57
2018-07-08,62
2018-07-15,70
2018-07-22,64
2018-07-29,62
2018-08-05,61
2018-08-12,62
2018-08-19,63
2018-08-26,62
2018-09-02,61
2018-09-09,61
2018-09-16,66
2018-09-23,61
2018-09-30,63
2018-10-07,65
2018-10-14,63
2018-10-21,65
2018-10-28,65
2018-11-04,65
2018-11-11,71
2018-11-18,86
2018-11-25,87
2018-12-02,79
2018-12-09,81
2018-12-16,81
2018-12-23,98
2018-12-30,75
2019-01-06,68
2019-01-13,67
2019-01-20,66
2019-01-27,64
2019-02-03,69
2019-02-10,68
2019-02-17,64
2019-02-24,70
2019-03-03,66
2019-03-10,66
2019-03-17,60
2019-03-24,63
2019-03-31,64
2019-04-07,65
2019-04-14,62
2019-04-21,62
2019-04-28,63
2019-05-05,61
2019-05-12,61
2019-05-19,63
2019-05-26,62
2019-06-02,63
2019-06-09,61
2019-06-16,62
2019-06-23,61
2019-06-30,60
2019-07-07,61
2019-07-14,73
2019-07-21,62
2019-07-28,62
2019-08-04,59
2019-08-11,62
2019-08-18,64
2019-08-25,61
2019-09-01,61
2019-09-08,63
2019-09-15,63
2019-09-22,64
2019-09-29,66
2019-10-06,64
2019-10-13,63
2019-10-20,64
2019-10-27,67
2019-11-03,65
2019-11-10,64
2019-11-17,74
2019-11-24,86
2019-12-01,83
2019-12-08,77
2019-12-15,76
2019-12-22,87
2019-12-29,75
2020-01-05,70
2020-01-12,69
2020-01-19,67
2020-01-26,63
2020-02-02,63
2020-02-09,65
2020-02-16,63
2020-02-23,63
2020-03-01,63
2020-03-08,57
2020-03-15,56
2020-03-22,62
2020-03-29,62
2020-04-05,63
2020-04-12,75
2020-04-19,69
2020-04-26,69
2020-05-03,68
2020-05-10,68
2020-05-17,68
2020-05-24,66
2020-05-31,65
2020-06-07,65
2020-06-14,68
2020-06-21,68
2020-06-28,61
2020-07-05,67
2020-07-12,66
2020-07-19,67
2020-07-26,65
2020-08-02,66
2020-08-09,67
2020-08-16,68
2020-08-23,68
2020-08-30,69
2020-09-06,67
2020-09-13,73
2020-09-20,76
2020-09-27,69
2020-10-04,69
2020-10-11,75
2020-10-18,68
2020-10-25,64
2020-11-01,69
2020-11-08,73
2020-11-15,72
2020-11-22,78
2020-11-29,75
2020-12-06,76
2020-12-13,73
2020-12-20,75
2020-12-27,76
2021-01-03,73
2021-01-10,71
2021-01-17,68
2021-01-24,68
2021-01-31,67
2021-02-07,73
2021-02-14,76
2021-02-21,71
2021-02-28,66
2021-03-07,66
2021-03-14,67
2021-03-21,65
2021-03-28,66
2021-04-04,63
2021-04-11,61
2021-04-18,62
2021-04-25,63
2021-05-02,63
2021-05-09,66
2021-05-16,61
2021-05-23,60
2021-05-30,59
2021-06-06,59
2021-06-13,60
2021-06-20,64
2021-06-27,61
2021-07-04,57
2021-07-11,60
2021-07-18,58
2021-07-25,60
2021-08-01,61
2021-08-08,64
2021-08-15,65
2021-08-22,61
2021-08-29,62
2021-09-05,60
2021-09-12,62
2021-09-19,60
2021-09-26,60
2021-10-03,60
2021-10-10,61
