Week,SOL: (Worldwide)
2016-10-23,74
2016-10-30,73
2016-11-06,73
2016-11-13,78
2016-11-20,78
2016-11-27,76
2016-12-04,79
2016-12-11,74
2016-12-18,69
2016-12-25,76
2017-01-01,79
2017-01-08,80
2017-01-15,80
2017-01-22,75
2017-01-29,81
2017-02-05,78
2017-02-12,79
2017-02-19,84
2017-02-26,80
2017-03-05,77
2017-03-12,77
2017-03-19,77
2017-03-26,70
2017-04-02,71
2017-04-09,71
2017-04-16,73
2017-04-23,72
2017-04-30,74
2017-05-07,74
2017-05-14,76
2017-05-21,80
2017-05-28,77
2017-06-04,78
2017-06-11,76
2017-06-18,80
2017-06-25,73
2017-07-02,72
2017-07-09,74
2017-07-16,72
2017-07-23,74
2017-07-30,76
2017-08-06,75
2017-08-13,72
2017-08-20,82
2017-08-27,73
2017-09-03,71
2017-09-10,72
2017-09-17,71
2017-09-24,70
2017-10-01,71
2017-10-08,70
2017-10-15,72
2017-10-22,71
2017-10-29,69
2017-11-05,71
2017-11-12,75
2017-11-19,68
2017-11-26,68
2017-12-03,67
2017-12-10,68
2017-12-17,71
2017-12-24,71
2017-12-31,74
2018-01-07,78
2018-01-14,75
2018-01-21,73
2018-01-28,74
2018-02-04,69
2018-02-11,69
2018-02-18,73
2018-02-25,72
2018-03-04,72
2018-03-11,75
2018-03-18,74
2018-03-25,72
2018-04-01,74
2018-04-08,73
2018-04-15,76
2018-04-22,77
2018-04-29,77
2018-05-06,82
2018-05-13,88
2018-05-20,95
2018-05-27,93
2018-06-03,87
2018-06-10,84
2018-06-17,83
2018-06-24,84
2018-07-01,85
2018-07-08,91
2018-07-15,95
2018-07-22,97
2018-07-29,97
2018-08-05,96
2018-08-12,100
2018-08-19,93
2018-08-26,99
2018-09-02,90
2018-09-09,100
2018-09-16,92
2018-09-23,96
2018-09-30,96
2018-10-07,92
2018-10-14,97
2018-10-21,92
2018-10-28,99
2018-11-04,97
2018-11-11,73
2018-11-18,70
2018-11-25,70
2018-12-02,68
2018-12-09,69
2018-12-16,68
2018-12-23,72
2018-12-30,76
2019-01-06,75
2019-01-13,74
2019-01-20,74
2019-01-27,75
2019-02-03,72
2019-02-10,71
2019-02-17,75
2019-02-24,72
2019-03-03,70
2019-03-10,71
2019-03-17,72
2019-03-24,75
2019-03-31,72
2019-04-07,71
2019-04-14,80
2019-04-21,73
2019-04-28,73
2019-05-05,75
2019-05-12,77
2019-05-19,79
2019-05-26,80
2019-06-02,76
2019-06-09,74
2019-06-16,75
2019-06-23,76
2019-06-30,83
2019-07-07,74
2019-07-14,74
2019-07-21,75
2019-07-28,76
2019-08-04,75
2019-08-11,76
2019-08-18,77
2019-08-25,76
2019-09-01,74
2019-09-08,74
2019-09-15,73
2019-09-22,72
2019-09-29,81
2019-10-06,73
2019-10-13,76
2019-10-20,72
2019-10-27,69
2019-11-03,72
2019-11-10,71
2019-11-17,74
2019-11-24,69
2019-12-01,69
2019-12-08,69
2019-12-15,67
2019-12-22,74
2019-12-29,81
2020-01-05,78
2020-01-12,79
2020-01-19,78
2020-01-26,74
2020-02-02,74
2020-02-09,74
2020-02-16,74
2020-02-23,77
2020-03-01,75
2020-03-08,70
2020-03-15,65
2020-03-22,70
2020-03-29,64
2020-04-05,67
2020-04-12,69
2020-04-19,77
2020-04-26,74
2020-05-03,78
2020-05-10,76
2020-05-17,82
2020-05-24,82
2020-05-31,83
2020-06-07,77
2020-06-14,78
2020-06-21,85
2020-06-28,83
2020-07-05,81
2020-07-12,79
2020-07-19,78
2020-07-26,79
2020-08-02,78
2020-08-09,80
2020-08-16,76
2020-08-23,77
2020-08-30,79
2020-09-06,74
2020-09-13,74
2020-09-20,71
2020-09-27,75
2020-10-04,73
2020-10-11,74
2020-10-18,75
2020-10-25,76
2020-11-01,69
2020-11-08,74
2020-11-15,73
2020-11-22,79
2020-11-29,76
2020-12-06,75
2020-12-13,79
2020-12-20,76
2020-12-27,77
2021-01-03,76
2021-01-10,79
2021-01-17,76
2021-01-24,75
2021-01-31,73
2021-02-07,74
2021-02-14,75
2021-02-21,77
2021-02-28,76
2021-03-07,79
2021-03-14,79
2021-03-21,78
2021-03-28,72
2021-04-04,74
2021-04-11,74
2021-04-18,78
2021-04-25,77
2021-05-02,76
2021-05-09,75
2021-05-16,78
2021-05-23,82
2021-05-30,84
2021-06-06,89
2021-06-13,84
2021-06-20,78
2021-06-27,74
2021-07-04,77
2021-07-11,78
2021-07-18,79
2021-07-25,80
2021-08-01,76
2021-08-08,78
2021-08-15,82
2021-08-22,79
2021-08-29,77
2021-09-05,75
2021-09-12,72
2021-09-19,71
2021-09-26,72
2021-10-03,71
2021-10-10,72
