Week,USD: (Worldwide)
2016-10-23,51
2016-10-30,54
2016-11-06,84
2016-11-13,69
2016-11-20,66
2016-11-27,63
2016-12-04,62
2016-12-11,59
2016-12-18,59
2016-12-25,53
2017-01-01,62
2017-01-08,61
2017-01-15,62
2017-01-22,59
2017-01-29,58
2017-02-05,57
2017-02-12,56
2017-02-19,56
2017-02-26,60
2017-03-05,57
2017-03-12,60
2017-03-19,58
2017-03-26,63
2017-04-02,61
2017-04-09,58
2017-04-16,58
2017-04-23,60
2017-04-30,62
2017-05-07,62
2017-05-14,62
2017-05-21,64
2017-05-28,61
2017-06-04,64
2017-06-11,62
2017-06-18,62
2017-06-25,61
2017-07-02,61
2017-07-09,64
2017-07-16,66
2017-07-23,65
2017-07-30,67
2017-08-06,65
2017-08-13,66
2017-08-20,62
2017-08-27,66
2017-09-03,66
2017-09-10,70
2017-09-17,63
2017-09-24,62
2017-10-01,63
2017-10-08,64
2017-10-15,61
2017-10-22,64
2017-10-29,69
2017-11-05,69
2017-11-12,70
2017-11-19,72
2017-11-26,85
2017-12-03,93
2017-12-10,92
2017-12-17,100
2017-12-24,86
2017-12-31,88
2018-01-07,88
2018-01-14,86
2018-01-21,78
2018-01-28,80
2018-02-04,85
2018-02-11,72
2018-02-18,71
2018-02-25,69
2018-03-04,65
2018-03-11,64
2018-03-18,64
2018-03-25,65
2018-04-01,64
2018-04-08,63
2018-04-15,65
2018-04-22,65
2018-04-29,63
2018-05-06,67
2018-05-13,66
2018-05-20,68
2018-05-27,66
2018-06-03,63
2018-06-10,65
2018-06-17,63
2018-06-24,67
2018-07-01,65
2018-07-08,66
2018-07-15,66
2018-07-22,66
2018-07-29,69
2018-08-05,71
2018-08-12,83
2018-08-19,68
2018-08-26,73
2018-09-02,76
2018-09-09,73
2018-09-16,71
2018-09-23,67
2018-09-30,70
2018-10-07,71
2018-10-14,66
2018-10-21,63
2018-10-28,65
2018-11-04,63
2018-11-11,66
2018-11-18,69
2018-11-25,70
2018-12-02,67
2018-12-09,65
2018-12-16,64
2018-12-23,62
2018-12-30,64
2019-01-06,66
2019-01-13,68
2019-01-20,62
2019-01-27,62
2019-02-03,60
2019-02-10,62
2019-02-17,64
2019-02-24,63
2019-03-03,62
2019-03-10,62
2019-03-17,65
2019-03-24,65
2019-03-31,66
2019-04-07,64
2019-04-14,62
2019-04-21,64
2019-04-28,63
2019-05-05,66
2019-05-12,73
2019-05-19,70
2019-05-26,72
2019-06-02,67
2019-06-09,67
2019-06-16,72
2019-06-23,75
2019-06-30,74
2019-07-07,69
2019-07-14,71
2019-07-21,68
2019-07-28,72
2019-08-04,80
2019-08-11,76
2019-08-18,74
2019-08-25,77
2019-09-01,74
2019-09-08,72
2019-09-15,70
2019-09-22,68
2019-09-29,66
2019-10-06,67
2019-10-13,68
2019-10-20,65
2019-10-27,66
2019-11-03,65
2019-11-10,66
2019-11-17,65
2019-11-24,69
2019-12-01,66
2019-12-08,64
2019-12-15,68
2019-12-22,60
2019-12-29,63
2020-01-05,70
2020-01-12,67
2020-01-19,65
2020-01-26,64
2020-02-02,65
2020-02-09,64
2020-02-16,67
2020-02-23,72
2020-03-01,71
2020-03-08,85
2020-03-15,92
2020-03-22,84
2020-03-29,72
2020-04-05,69
2020-04-12,68
2020-04-19,69
2020-04-26,67
2020-05-03,68
2020-05-10,68
2020-05-17,66
2020-05-24,64
2020-05-31,70
2020-06-07,68
2020-06-14,65
2020-06-21,63
2020-06-28,63
2020-07-05,63
2020-07-12,63
2020-07-19,68
2020-07-26,74
2020-08-02,75
2020-08-09,71
2020-08-16,68
2020-08-23,68
2020-08-30,72
2020-09-06,67
2020-09-13,65
2020-09-20,63
2020-09-27,62
2020-10-04,60
2020-10-11,60
2020-10-18,58
2020-10-25,61
2020-11-01,64
2020-11-08,70
2020-11-15,68
2020-11-22,73
2020-11-29,68
2020-12-06,65
2020-12-13,70
2020-12-20,69
2020-12-27,73
2021-01-03,90
2021-01-10,86
2021-01-17,75
2021-01-24,80
2021-01-31,78
2021-02-07,82
2021-02-14,81
2021-02-21,90
2021-02-28,81
2021-03-07,82
2021-03-14,78
2021-03-21,81
2021-03-28,82
2021-04-04,80
2021-04-11,85
2021-04-18,89
2021-04-25,81
2021-05-02,87
2021-05-09,90
2021-05-16,99
2021-05-23,90
2021-05-30,85
2021-06-06,79
2021-06-13,76
2021-06-20,81
2021-06-27,74
2021-07-04,74
2021-07-11,75
2021-07-18,80
2021-07-25,79
2021-08-01,75
2021-08-08,77
2021-08-15,77
2021-08-22,78
2021-08-29,76
2021-09-05,75
2021-09-12,74
2021-09-19,77
2021-09-26,88
2021-10-03,96
2021-10-10,93
