Week,cardano: (Worldwide)
2016-10-23,1
2016-10-30,1
2016-11-06,1
2016-11-13,1
2016-11-20,2
2016-11-27,1
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,1
2017-01-01,1
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,2
2017-02-26,2
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,2
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,2
2017-06-11,1
2017-06-18,2
2017-06-25,2
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,1
2017-08-27,2
2017-09-03,1
2017-09-10,2
2017-09-17,2
2017-09-24,2
2017-10-01,3
2017-10-08,2
2017-10-15,2
2017-10-22,2
2017-10-29,2
2017-11-05,2
2017-11-12,2
2017-11-19,3
2017-11-26,11
2017-12-03,10
2017-12-10,16
2017-12-17,27
2017-12-24,22
2017-12-31,36
2018-01-07,22
2018-01-14,16
2018-01-21,11
2018-01-28,9
2018-02-04,9
2018-02-11,8
2018-02-18,7
2018-02-25,8
2018-03-04,7
2018-03-11,5
2018-03-18,6
2018-03-25,5
2018-04-01,5
2018-04-08,5
2018-04-15,7
2018-04-22,7
2018-04-29,7
2018-05-06,5
2018-05-13,5
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,4
2018-06-24,4
2018-07-01,4
2018-07-08,4
2018-07-15,5
2018-07-22,4
2018-07-29,3
2018-08-05,3
2018-08-12,3
2018-08-19,3
2018-08-26,4
2018-09-02,4
2018-09-09,4
2018-09-16,4
2018-09-23,4
2018-09-30,3
2018-10-07,4
2018-10-14,4
2018-10-21,3
2018-10-28,3
2018-11-04,4
2018-11-11,3
2018-11-18,4
2018-11-25,3
2018-12-02,3
2018-12-09,3
2018-12-16,3
2018-12-23,3
2018-12-30,3
2019-01-06,5
2019-01-13,4
2019-01-20,4
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,3
2019-02-24,2
2019-03-03,3
2019-03-10,4
2019-03-17,5
2019-03-24,5
2019-03-31,6
2019-04-07,4
2019-04-14,4
2019-04-21,3
2019-04-28,3
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,5
2019-06-02,3
2019-06-09,4
2019-06-16,4
2019-06-23,5
2019-06-30,4
2019-07-07,3
2019-07-14,3
2019-07-21,2
2019-07-28,3
2019-08-04,3
2019-08-11,2
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,3
2019-09-29,4
2019-10-06,3
2019-10-13,2
2019-10-20,3
2019-10-27,3
2019-11-03,2
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,2
2019-12-29,2
2020-01-05,2
2020-01-12,3
2020-01-19,3
2020-01-26,4
2020-02-02,4
2020-02-09,4
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,3
2020-03-15,3
2020-03-22,3
2020-03-29,3
2020-04-05,2
2020-04-12,2
2020-04-19,3
2020-04-26,4
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,4
2020-05-31,6
2020-06-07,5
2020-06-14,4
2020-06-21,4
2020-06-28,6
2020-07-05,8
2020-07-12,5
2020-07-19,6
2020-07-26,9
2020-08-02,6
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,3
2020-11-01,3
2020-11-08,3
2020-11-15,4
2020-11-22,6
2020-11-29,5
2020-12-06,4
2020-12-13,6
2020-12-20,6
2020-12-27,8
2021-01-03,18
2021-01-10,14
2021-01-17,15
2021-01-24,12
2021-01-31,27
2021-02-07,52
2021-02-14,46
2021-02-21,70
2021-02-28,69
2021-03-07,42
2021-03-14,65
2021-03-21,42
2021-03-28,35
2021-04-04,37
2021-04-11,52
2021-04-18,44
2021-04-25,42
2021-05-02,60
2021-05-09,100
2021-05-16,94
2021-05-23,55
2021-05-30,47
2021-06-06,35
2021-06-13,28
2021-06-20,29
2021-06-27,23
2021-07-04,22
2021-07-11,18
2021-07-18,18
2021-07-25,23
2021-08-01,23
2021-08-08,55
2021-08-15,62
2021-08-22,88
2021-08-29,72
2021-09-05,68
2021-09-12,63
2021-09-19,42
2021-09-26,34
2021-10-03,35
2021-10-10,31
