Week,ethereum: (Worldwide)
2016-10-23,1
2016-10-30,1
2016-11-06,1
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,1
2017-01-01,2
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,3
2017-03-05,3
2017-03-12,6
2017-03-19,5
2017-03-26,4
2017-04-02,3
2017-04-09,3
2017-04-16,3
2017-04-23,5
2017-04-30,8
2017-05-07,6
2017-05-14,7
2017-05-21,23
2017-05-28,17
2017-06-04,20
2017-06-11,33
2017-06-18,26
2017-06-25,24
2017-07-02,16
2017-07-09,18
2017-07-16,18
2017-07-23,12
2017-07-30,12
2017-08-06,15
2017-08-13,14
2017-08-20,13
2017-08-27,16
2017-09-03,14
2017-09-10,12
2017-09-17,11
2017-09-24,9
2017-10-01,8
2017-10-08,11
2017-10-15,13
2017-10-22,11
2017-10-29,13
2017-11-05,15
2017-11-12,13
2017-11-19,20
2017-11-26,31
2017-12-03,35
2017-12-10,45
2017-12-17,42
2017-12-24,26
2017-12-31,34
2018-01-07,45
2018-01-14,37
2018-01-21,21
2018-01-28,23
2018-02-04,20
2018-02-11,14
2018-02-18,12
2018-02-25,10
2018-03-04,10
2018-03-11,10
2018-03-18,10
2018-03-25,10
2018-04-01,7
2018-04-08,8
2018-04-15,7
2018-04-22,8
2018-04-29,8
2018-05-06,9
2018-05-13,7
2018-05-20,7
2018-05-27,6
2018-06-03,6
2018-06-10,7
2018-06-17,5
2018-06-24,5
2018-07-01,5
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,6
2018-08-12,8
2018-08-19,5
2018-08-26,4
2018-09-02,6
2018-09-09,7
2018-09-16,5
2018-09-23,4
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,3
2018-10-28,3
2018-11-04,4
2018-11-11,4
2018-11-18,5
2018-11-25,4
2018-12-02,5
2018-12-09,4
2018-12-16,4
2018-12-23,5
2018-12-30,5
2019-01-06,5
2019-01-13,4
2019-01-20,3
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,4
2019-02-24,4
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,4
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,4
2019-05-12,7
2019-05-19,5
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,5
2019-06-23,8
2019-06-30,6
2019-07-07,10
2019-07-14,14
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,4
2019-09-22,3
2019-09-29,3
2019-10-06,3
2019-10-13,2
2019-10-20,3
2019-10-27,3
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,3
2019-12-29,3
2020-01-05,3
2020-01-12,4
2020-01-19,3
2020-01-26,4
2020-02-02,5
2020-02-09,7
2020-02-16,6
2020-02-23,5
2020-03-01,4
2020-03-08,6
2020-03-15,5
2020-03-22,4
2020-03-29,4
2020-04-05,5
2020-04-12,4
2020-04-19,5
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,5
2020-05-24,5
2020-05-31,6
2020-06-07,6
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,5
2020-07-19,8
2020-07-26,13
2020-08-02,14
2020-08-09,11
2020-08-16,10
2020-08-23,7
2020-08-30,10
2020-09-06,8
2020-09-13,7
2020-09-20,6
2020-09-27,5
2020-10-04,5
2020-10-11,5
2020-10-18,6
2020-10-25,6
2020-11-01,7
2020-11-08,8
2020-11-15,10
2020-11-22,17
2020-11-29,13
2020-12-06,9
2020-12-13,12
2020-12-20,13
2020-12-27,22
2021-01-03,58
2021-01-10,43
2021-01-17,39
2021-01-24,36
2021-01-31,47
2021-02-07,52
2021-02-14,48
2021-02-21,50
2021-02-28,34
2021-03-07,36
2021-03-14,32
2021-03-21,27
2021-03-28,36
2021-04-04,36
2021-04-11,47
2021-04-18,47
2021-04-25,48
2021-05-02,95
2021-05-09,100
2021-05-16,91
2021-05-23,72
2021-05-30,48
2021-06-06,39
2021-06-13,32
2021-06-20,38
2021-06-27,31
2021-07-04,28
2021-07-11,26
2021-07-18,28
2021-07-25,30
2021-08-01,43
2021-08-08,45
2021-08-15,36
2021-08-22,33
2021-08-29,39
2021-09-05,38
2021-09-12,29
2021-09-19,30
2021-09-26,27
2021-10-03,31
2021-10-10,31
